# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: 0.1472507470046624
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 0.6649005427796013
# max_planets_in_clusters: 15
# power_law_P: -0.05330717268931218
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -1.2547050209691637
# power_law_r2: -4.351727869131574
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.4211582141169
# sigma_incl: 53.675676259677275
# sigma_incl_near_mmr: 1.068859454056602
# sigma_hk: 0.006001477799569744
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.16114277826092416
# sigma_logperiod_per_pl_in_cluster: 0.24253630870161272
#
target_id,star_id,star_mass,star_radius,num_obs_planets
219.0,42845.0,0.799,0.6869194,1.0
241.0,4998.0,1.214,1.8587959,1.0
274.0,54636.0,0.838,1.0554075,1.0
376.0,29674.0,0.74,0.7403019,1.0
413.0,48090.0,0.984,0.8122169,1.0
495.0,46764.0,1.198,1.5838072,1.0
697.0,42293.0,0.737,1.1506885,1.0
960.0,10670.0,0.56,0.62139726,1.0
967.0,28871.0,1.118,1.9097784,1.0
1018.0,17167.0,1.023,1.6316341,1.0
1249.0,6109.0,1.157,1.1078283,1.0
1514.0,6113.0,0.874,0.77189046,1.0
1582.0,32732.0,0.964,0.84401417,1.0
1618.0,10968.0,0.987,1.3551525,1.0
1624.0,55788.0,0.712,1.0045075,1.0
1642.0,12202.0,1.048,1.2010291,1.0
1687.0,58128.0,0.834,0.9396859,1.0
1710.0,32373.0,0.968,1.1732943,1.0
1845.0,36670.0,0.951,1.4099264,1.0
1849.0,63334.0,1.132,0.9520962,1.0
1850.0,1336.0,0.951,0.8615314,1.0
1921.0,65547.0,0.93,0.72983074,1.0
1923.0,12184.0,0.616,0.65563935,1.0
1996.0,34285.0,1.104,1.3655106,1.0
2045.0,70430.0,0.98,0.9956504,1.0
2088.0,52018.0,1.074,1.2520099,1.0
2276.0,25001.0,1.038,1.2043313,1.0
2301.0,51369.0,0.802,0.6816115,1.0
2380.0,14871.0,1.123,1.3738685,1.0
2607.0,9668.0,1.054,1.1902465,1.0
2805.0,76934.0,0.921,0.9809736,1.0
2928.0,34065.0,1.046,1.0828876,1.0
2937.0,4713.0,1.106,1.0418563,1.0
2993.0,48765.0,0.979,1.0797455,1.0
3159.0,79446.0,1.153,1.2619245,1.0
3202.0,49946.0,0.746,1.0699055,1.0
3223.0,41412.0,1.17,1.2760135,1.0
3278.0,11125.0,0.901,0.79572445,1.0
3351.0,37050.0,0.767,0.79476315,1.0
3473.0,65559.0,1.148,1.0619442,1.0
3723.0,25018.0,1.048,1.0907785,1.0
3854.0,56874.0,0.892,0.8197902,1.0
4006.0,66687.0,0.955,1.1124876,1.0
4089.0,58686.0,0.809,0.7290968,1.0
4169.0,39763.0,0.862,0.92934114,1.0
