# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: 0.11274633633185904
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.3463263278033637
# max_planets_in_clusters: 15
# power_law_P: 0.4976937311377876
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -1.7080612380925366
# power_law_r2: -2.750092448949898
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.6164415331829759
# sigma_incl: 16.418024038621358
# sigma_incl_near_mmr: 1.05666996794415
# sigma_hk: 0.015509022792016693
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.28161088553438224
# sigma_logperiod_per_pl_in_cluster: 0.19131974336602683
#
target_id,star_id,star_mass,star_radius,num_obs_planets
67.0,61869.0,1.149,1.6026665,1.0
210.0,61954.0,1.089,1.4743351,1.0
405.0,67097.0,0.961,1.009056,1.0
486.0,76497.0,1.08,1.6669135,1.0
509.0,44365.0,1.085,1.4380326,1.0
551.0,33560.0,0.968,1.0038472,1.0
554.0,22451.0,0.859,0.9056018,1.0
560.0,39603.0,1.175,1.2844114,1.0
762.0,67265.0,1.014,1.6898665,1.0
793.0,11791.0,1.068,1.1983242,1.0
820.0,27976.0,0.968,1.4808847,1.0
949.0,52666.0,0.645,0.5899562,1.0
952.0,57023.0,0.929,1.2651776,1.0
1109.0,3784.0,0.672,0.6432769,1.0
1126.0,71528.0,0.926,0.82648754,1.0
1181.0,22971.0,0.569,0.7423372,1.0
1219.0,45852.0,0.917,0.8987207,1.0
1313.0,32774.0,0.943,1.1020895,1.0
1370.0,39914.0,0.803,0.73535484,1.0
1434.0,40983.0,0.716,0.8319465,1.0
1480.0,78190.0,1.186,1.0860732,1.0
1541.0,67649.0,1.153,1.4449552,1.0
1559.0,39275.0,0.887,1.6664239,1.0
1844.0,2261.0,0.957,0.9714734,1.0
1855.0,24604.0,0.667,0.5884905,1.0
1901.0,55014.0,0.711,0.91320443,1.0
1907.0,22737.0,1.008,1.089137,1.0
1911.0,11775.0,0.511,0.73453397,1.0
1929.0,35072.0,0.638,0.75730026,1.0
1984.0,11107.0,0.977,1.1489967,1.0
2051.0,33833.0,0.68,1.017642,1.0
2186.0,79624.0,0.917,0.8442999,1.0
2200.0,71419.0,1.019,1.2770151,1.0
2319.0,60351.0,1.069,1.1384577,1.0
2356.0,22719.0,0.878,1.1282146,1.0
2364.0,64683.0,0.946,1.165596,1.0
2426.0,27098.0,0.866,0.9334566,1.0
2481.0,34133.0,0.926,0.9122574,1.0
2526.0,5029.0,1.17,1.2560322,1.0
2549.0,26262.0,0.848,1.1190522,1.0
2646.0,7993.0,0.912,0.8357061,1.0
