# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: -0.5152689335469718
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.3973466842587003
# max_planets_in_clusters: 15
# power_law_P: -0.1400967818599097
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -1.168249520311429
# power_law_r2: -4.4272808830462544
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.47367649223680464
# sigma_incl: 66.17938048066753
# sigma_incl_near_mmr: 1.3886456076659854
# sigma_hk: 0.004209759625209708
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.36126169827170895
# sigma_logperiod_per_pl_in_cluster: 0.18673834359726305
#
target_id,star_id,star_mass,star_radius,num_obs_planets
22.0,65606.0,0.989,1.273409,1.0
147.0,20692.0,0.954,1.2240387,1.0
387.0,33771.0,1.113,1.3222066,1.0
406.0,21752.0,1.047,0.90682626,1.0
460.0,72045.0,0.835,1.7958865,1.0
486.0,68647.0,0.858,1.0418705,1.0
621.0,35080.0,0.833,0.8648581,1.0
927.0,40965.0,1.608,2.0590398,1.0
931.0,39403.0,0.867,1.0848687,1.0
979.0,30959.0,1.003,1.404853,1.0
983.0,28541.0,0.845,0.8766561,1.0
1008.0,26240.0,1.025,0.94381505,1.0
1179.0,62450.0,1.057,1.0599195,1.0
1197.0,78095.0,1.002,1.6311922,1.0
1311.0,64127.0,0.928,1.2053045,1.0
1358.0,41480.0,1.033,1.0342977,1.0
1438.0,3748.0,1.0,0.9293616,1.0
1445.0,30733.0,1.14,1.1455575,1.0
1562.0,9916.0,1.108,1.3584017,1.0
1614.0,809.0,1.206,1.4923743,1.0
1908.0,11066.0,0.722,0.689203,1.0
1999.0,42130.0,0.939,1.1674749,1.0
2012.0,29626.0,0.616,0.7537721,1.0
2112.0,60799.0,0.948,0.9486761,1.0
2191.0,46544.0,1.082,1.386985,1.0
2367.0,47263.0,0.955,1.0640999,1.0
2432.0,1973.0,0.966,1.0123373,1.0
2549.0,42520.0,0.643,0.93618286,1.0
2550.0,16689.0,1.087,1.0019492,1.0
2713.0,58706.0,1.058,0.9680753,1.0
2777.0,914.0,0.793,0.74571663,1.0
2811.0,11745.0,0.8,0.8020234,1.0
2906.0,76428.0,0.896,0.80610055,1.0
2947.0,39800.0,1.181,1.3810749,1.0
2989.0,1835.0,1.125,1.0599074,1.0
3014.0,73847.0,0.873,0.79031676,1.0
3022.0,33830.0,0.909,1.0905079,1.0
3033.0,61360.0,0.75,0.69944346,1.0
3051.0,45280.0,0.945,1.253044,1.0
3093.0,59695.0,1.107,1.3841833,1.0
3102.0,8213.0,0.929,0.9949306,1.0
3109.0,77647.0,0.73,0.7583087,1.0
3147.0,18795.0,1.093,1.3734314,1.0
3154.0,18885.0,0.936,0.8632242,1.0
3199.0,41619.0,0.941,1.0580151,1.0
3498.0,47218.0,0.807,0.91177434,1.0
3673.0,27400.0,0.768,0.9052576,1.0
3765.0,2493.0,1.106,1.1492796,1.0
3769.0,50105.0,0.768,0.80367845,1.0
3815.0,57300.0,0.788,0.91556054,1.0
3868.0,54430.0,1.108,1.2398702,1.0
3895.0,1060.0,0.848,0.75723064,1.0
3901.0,50660.0,0.913,0.8550699,1.0
4111.0,34071.0,1.07,0.8753911,1.0
4146.0,74653.0,0.634,0.6183198,1.0
4167.0,32683.0,0.915,1.2369719,1.0
4219.0,40004.0,0.938,1.0047523,1.0
4322.0,74592.0,1.125,1.4217825,1.0
4342.0,14873.0,1.299,1.7316985,1.0
4483.0,10285.0,1.127,1.3129098,1.0
4519.0,52810.0,1.043,1.4026144,1.0
4644.0,2165.0,0.959,0.87433493,1.0
4764.0,30048.0,0.808,0.88094825,1.0
4784.0,15952.0,0.993,1.2434405,1.0
4925.0,24170.0,1.187,1.2252977,1.0
5061.0,77778.0,1.153,1.6146119,1.0
5124.0,32665.0,1.01,1.4932176,1.0
5150.0,8692.0,0.713,0.8124113,1.0
5232.0,71540.0,0.752,0.54726,1.0
5307.0,18290.0,1.065,1.2240424,1.0
5559.0,5169.0,1.174,1.224346,1.0
5638.0,56768.0,0.699,0.5677214,1.0
5755.0,45139.0,0.795,1.0273136,1.0
5766.0,29765.0,1.079,1.0198333,1.0
5923.0,64352.0,1.048,1.1521952,1.0
5989.0,20052.0,0.947,1.0023475,1.0
6026.0,9963.0,1.031,1.7679257,1.0
6078.0,72816.0,0.967,1.2983918,1.0
6101.0,65196.0,0.933,0.86933273,1.0
