# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: -0.5706597106168119
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.5313557909712017
# max_planets_in_clusters: 15
# power_law_P: 0.8281455572611061
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -0.6078765918266207
# power_law_r2: -4.51964280936458
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.502590937578268
# sigma_incl: 27.78557991905339
# sigma_incl_near_mmr: 1.3079006080774769
# sigma_hk: 0.011622676479308881
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.3200797084650039
# sigma_logperiod_per_pl_in_cluster: 0.26782309997621634
#
target_id,star_id,star_mass,star_radius,num_obs_planets
16.0,56483.0,1.198,1.4564742,1.0
75.0,64885.0,0.586,0.93415517,1.0
205.0,51589.0,0.913,0.80741835,1.0
317.0,58986.0,1.151,0.98153806,1.0
328.0,15893.0,1.119,1.3164313,1.0
379.0,4605.0,0.738,1.1827606,1.0
595.0,76614.0,0.941,0.9068242,1.0
618.0,8442.0,0.825,1.1795498,1.0
778.0,7445.0,1.133,0.96392035,1.0
795.0,70706.0,0.795,0.82129604,1.0
811.0,50503.0,1.154,1.2836215,1.0
930.0,10866.0,0.92,0.93807983,1.0
958.0,48208.0,0.753,0.844612,1.0
999.0,16524.0,1.107,1.0626135,1.0
1068.0,25584.0,0.839,1.0408599,1.0
1087.0,12896.0,1.137,1.2259926,1.0
1109.0,73060.0,1.062,0.9436492,1.0
1119.0,44478.0,0.797,0.775336,1.0
1170.0,17974.0,1.143,1.1577818,1.0
1235.0,52334.0,0.94,1.0581251,1.0
1267.0,65528.0,0.961,0.929455,1.0
1441.0,59721.0,0.962,1.4452238,1.0
1511.0,15554.0,0.912,0.6588207,1.0
1603.0,33451.0,0.787,0.91583425,1.0
1655.0,5509.0,0.788,0.6832495,1.0
1701.0,7861.0,1.002,0.82030916,1.0
1741.0,16567.0,1.122,1.0761329,1.0
1950.0,9840.0,0.799,1.0903263,1.0
2043.0,48679.0,1.031,1.3494017,1.0
2131.0,26107.0,0.995,0.9417804,1.0
2143.0,48663.0,1.001,1.0441972,1.0
2168.0,37683.0,0.968,0.9888283,1.0
2182.0,77010.0,1.107,1.4819427,1.0
2218.0,16561.0,1.487,1.3205444,1.0
2279.0,2259.0,1.18,1.2145475,1.0
2385.0,405.0,1.164,1.5559349,1.0
2428.0,29435.0,0.945,1.5875555,1.0
2562.0,74024.0,0.861,1.2153502,1.0
2574.0,7287.0,0.951,0.88761944,1.0
2635.0,23486.0,0.95,0.9991572,1.0
2636.0,31917.0,0.855,1.0968618,1.0
2676.0,55201.0,1.126,1.183008,1.0
2700.0,18105.0,1.489,1.381597,1.0
2790.0,13646.0,1.084,1.1203015,1.0
2980.0,43153.0,0.84,0.8292282,1.0
2999.0,19561.0,0.794,0.5846316,1.0
3049.0,29324.0,1.135,1.0305779,1.0
3093.0,44883.0,0.869,1.2478017,1.0
3189.0,25952.0,1.215,1.6421857,1.0
3206.0,34326.0,1.057,1.5010079,1.0
3341.0,17584.0,0.648,0.50698847,1.0
3381.0,18773.0,0.687,1.002088,1.0
