# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: -0.01913025607110258
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 0.7333077433082851
# max_planets_in_clusters: 15
# power_law_P: -0.14944301343205924
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -0.6968982682100311
# power_law_r2: -5.337621822913264
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.3352258666325274
# sigma_incl: 46.99318715447696
# sigma_incl_near_mmr: 1.4124328514591227
# sigma_hk: 0.006944515782460881
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.22407262450760845
# sigma_logperiod_per_pl_in_cluster: 0.20741693046151077
#
target_id,star_id,star_mass,star_radius,num_planets
1.0,17593.0,0.992,0.9851535,2.0
2.0,57850.0,0.888,0.85204864,3.0
3.0,37897.0,0.835,1.4156573,1.0
4.0,51289.0,0.976,0.925609,0.0
5.0,77069.0,0.904,0.99126565,4.0
6.0,57933.0,1.779,1.0119493,0.0
7.0,1868.0,1.193,1.0550996,5.0
8.0,66179.0,1.064,1.3537077,0.0
9.0,6822.0,0.817,0.5960043,0.0
10.0,20675.0,0.701,0.68720984,0.0
11.0,35121.0,0.933,1.0133119,0.0
12.0,39265.0,0.609,0.53236234,0.0
13.0,24900.0,1.56,1.6657372,2.0
14.0,40483.0,1.011,0.87924314,5.0
15.0,64591.0,0.925,1.0622154,0.0
16.0,10649.0,0.855,1.0659554,5.0
17.0,44909.0,0.792,0.6135953,3.0
18.0,2423.0,1.174,1.4723513,0.0
19.0,56765.0,0.93,1.4230242,0.0
20.0,28415.0,0.951,1.1474562,0.0
21.0,49486.0,0.786,0.6901239,0.0
22.0,34859.0,0.779,1.0218801,9.0
23.0,72226.0,1.118,1.2578932,1.0
24.0,21148.0,0.615,0.695809,0.0
25.0,76075.0,0.772,0.70582145,1.0
26.0,74019.0,1.202,1.2424057,4.0
27.0,49610.0,1.266,1.2492703,4.0
28.0,73807.0,0.807,0.7162672,1.0
29.0,59352.0,0.812,0.676072,8.0
30.0,1846.0,0.776,0.8862873,1.0
31.0,71713.0,0.872,1.1449511,6.0
32.0,14806.0,0.945,0.9762999,0.0
33.0,57038.0,0.952,1.2047673,1.0
34.0,42082.0,0.846,0.8652101,0.0
35.0,20223.0,0.843,0.82417077,1.0
36.0,68782.0,0.994,1.4903828,8.0
37.0,18419.0,0.972,0.81375676,0.0
38.0,51049.0,1.094,1.3812171,0.0
39.0,55801.0,0.623,0.73768216,0.0
40.0,12191.0,1.116,1.2388704,0.0
41.0,45953.0,0.903,1.1011884,3.0
42.0,27104.0,1.072,1.2354376,5.0
43.0,8306.0,1.177,1.2095265,6.0
44.0,25365.0,0.968,1.1507466,3.0
45.0,58334.0,0.831,0.80822235,3.0
46.0,63835.0,0.717,0.82288516,7.0
47.0,77282.0,0.851,0.7842751,2.0
48.0,38894.0,0.723,0.81331986,0.0
49.0,10360.0,1.047,1.0610169,0.0
50.0,57812.0,0.974,0.9452443,0.0
51.0,27777.0,0.962,1.055557,8.0
52.0,76654.0,0.974,1.0186694,0.0
53.0,45189.0,0.832,0.7610033,3.0
54.0,12486.0,1.001,0.9673045,1.0
55.0,24879.0,0.634,0.7657286,0.0
