# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: -0.25308114068932386
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.5437032346200177
# max_planets_in_clusters: 15
# power_law_P: 0.6582031717743637
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -1.3886256783483688
# power_law_r2: -3.1089616710274752
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.38387659391129625
# sigma_incl: 61.2594722724112
# sigma_incl_near_mmr: 1.5693603839613501
# sigma_hk: 0.013729243272353465
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.4265683646443671
# sigma_logperiod_per_pl_in_cluster: 0.20267866856335875
#
target_id,star_id,star_mass,star_radius,num_planets
1.0,9298.0,0.976,0.97187036,0.0
2.0,70122.0,0.968,0.89799535,7.0
3.0,79517.0,1.157,0.96697,2.0
4.0,1199.0,0.98,0.9003905,7.0
5.0,61446.0,0.949,1.1355503,0.0
6.0,29221.0,1.153,1.4267253,6.0
7.0,27440.0,0.925,0.95134455,2.0
8.0,16982.0,0.912,1.1409454,3.0
9.0,40340.0,0.829,0.72807986,8.0
10.0,61326.0,1.103,1.3735037,0.0
11.0,46934.0,1.053,1.0713218,0.0
12.0,3293.0,1.153,1.4996904,0.0
13.0,34793.0,1.774,1.6060842,0.0
14.0,17910.0,0.903,0.9070612,0.0
15.0,64997.0,0.699,0.58294094,4.0
16.0,66691.0,0.862,0.79682,0.0
17.0,71147.0,1.008,1.0370867,0.0
18.0,39885.0,1.111,0.9240503,3.0
19.0,33156.0,1.331,1.6986388,0.0
20.0,69706.0,1.097,1.0351567,0.0
21.0,34534.0,0.851,0.77237785,5.0
22.0,19190.0,1.379,0.9756496,7.0
23.0,69368.0,0.907,0.97642195,8.0
24.0,24533.0,0.917,0.8894318,0.0
25.0,30429.0,0.732,0.88467085,0.0
26.0,62260.0,0.729,0.6772054,5.0
27.0,15961.0,0.99,1.1252126,3.0
28.0,9505.0,1.07,1.0965108,0.0
29.0,16572.0,1.104,1.4003091,4.0
30.0,57427.0,0.941,0.9376299,0.0
31.0,56276.0,0.717,0.6354242,0.0
32.0,7793.0,0.756,0.79392093,4.0
33.0,21531.0,1.192,1.1988617,6.0
34.0,18838.0,1.07,1.3178297,0.0
35.0,834.0,1.107,1.0576273,0.0
36.0,31680.0,1.669,1.8460898,7.0
37.0,32495.0,0.539,0.6590961,5.0
38.0,44772.0,1.592,1.8753492,0.0
39.0,27115.0,0.731,0.6240686,7.0
40.0,14545.0,1.11,1.6809963,0.0
