# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: 0.09431633345355517
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 0.7609626999185176
# max_planets_in_clusters: 15
# power_law_P: -0.2270326954795583
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -1.1645830855452113
# power_law_r2: -5.056583363726988
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.4345866050465299
# sigma_incl: 60.93851574583843
# sigma_incl_near_mmr: 1.2919166767629235
# sigma_hk: 0.01435088064538711
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.2041217856477835
# sigma_logperiod_per_pl_in_cluster: 0.1650957538628411
#
target_id,star_id,star_mass,star_radius,num_planets
1.0,29645.0,0.82,1.0148638,0.0
2.0,70208.0,0.892,0.82087743,0.0
3.0,18360.0,0.871,0.8251712,4.0
4.0,16006.0,1.084,1.2366501,0.0
5.0,2943.0,0.96,1.1294433,2.0
6.0,78505.0,0.916,1.1540765,0.0
7.0,40660.0,0.919,1.0362316,3.0
8.0,9981.0,1.074,1.198372,4.0
9.0,72804.0,1.024,1.2683326,0.0
10.0,72571.0,0.878,1.1837239,4.0
11.0,25682.0,0.803,1.0090764,1.0
12.0,47762.0,0.773,0.8003046,0.0
13.0,9039.0,0.809,1.5122329,5.0
14.0,26852.0,0.662,0.87918234,7.0
15.0,68616.0,0.776,0.7151257,0.0
16.0,35381.0,1.005,1.5272353,1.0
17.0,44380.0,1.162,1.4202703,5.0
18.0,25092.0,1.095,1.1363193,4.0
19.0,43513.0,1.273,1.3118784,0.0
20.0,14981.0,0.949,0.78048056,1.0
21.0,30021.0,0.676,0.8753652,0.0
22.0,2642.0,1.334,1.4189974,5.0
23.0,54406.0,0.927,0.94272125,2.0
24.0,56854.0,0.944,0.9768483,7.0
25.0,37747.0,1.037,1.0294025,0.0
26.0,59678.0,0.898,0.9047399,6.0
27.0,41068.0,1.2,2.1156251,5.0
28.0,438.0,1.232,1.4662694,8.0
29.0,24058.0,1.072,1.2917812,4.0
30.0,812.0,1.008,1.3247069,0.0
31.0,76704.0,0.81,0.66224986,6.0
32.0,17314.0,1.105,1.1752709,1.0
33.0,33356.0,1.098,1.0240788,4.0
34.0,14565.0,0.764,0.8008546,2.0
35.0,56296.0,0.783,0.8534487,1.0
36.0,22229.0,0.928,0.91149366,0.0
37.0,2334.0,0.849,0.7338287,4.0
38.0,31334.0,0.796,0.7925196,0.0
39.0,62848.0,0.983,1.15444,3.0
40.0,77525.0,0.9,1.0199554,5.0
41.0,50161.0,0.837,0.8697411,7.0
42.0,10016.0,0.885,0.772143,6.0
43.0,66078.0,0.897,0.9969749,2.0
44.0,51154.0,0.899,1.0426575,0.0
45.0,51660.0,0.964,1.2866173,4.0
46.0,9880.0,1.063,1.1788851,1.0
47.0,7251.0,1.132,1.6758773,6.0
48.0,18951.0,0.953,0.82137084,8.0
49.0,56609.0,0.803,0.82692385,2.0
50.0,22559.0,3.163,0.87765956,0.0
51.0,5058.0,1.241,1.3081825,0.0
52.0,1697.0,0.677,0.56471866,6.0
53.0,77799.0,0.813,0.63346195,4.0
54.0,69869.0,1.0,0.81964654,4.0
55.0,28264.0,0.927,1.635371,0.0
56.0,30903.0,0.923,1.0890417,7.0
57.0,77681.0,1.137,0.9044321,0.0
