# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: 0.12367248256119534
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.347315158866662
# max_planets_in_clusters: 15
# power_law_P: 1.1883664927664044
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -1.1317794627835172
# power_law_r2: -5.2719759797133525
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.3390101560746843
# sigma_incl: 53.30882116108512
# sigma_incl_near_mmr: 1.2508886718384533
# sigma_hk: 0.044393556981468435
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.3037083583783532
# sigma_logperiod_per_pl_in_cluster: 0.2270548091861149
#
target_id,star_id,star_mass,star_radius,num_planets
1.0,69509.0,1.084,1.1218349,3.0
2.0,9813.0,0.963,1.1663983,2.0
3.0,33842.0,1.129,1.3622239,0.0
4.0,78804.0,0.906,0.96098286,0.0
5.0,61615.0,0.887,0.7333628,0.0
6.0,35684.0,0.834,0.76232636,3.0
7.0,55107.0,0.815,1.2115762,4.0
8.0,8887.0,0.685,0.61057657,0.0
9.0,7164.0,0.792,0.8368597,3.0
10.0,40749.0,0.979,0.96136564,0.0
11.0,46327.0,1.341,1.3052927,4.0
12.0,46817.0,0.974,1.3137256,0.0
13.0,26840.0,0.897,1.0006758,6.0
14.0,45691.0,0.691,0.7454204,4.0
15.0,78468.0,0.975,1.0115234,0.0
16.0,27070.0,1.02,1.4296366,0.0
17.0,55638.0,0.926,0.7687699,4.0
18.0,31849.0,1.036,1.4056894,3.0
19.0,51674.0,0.801,0.8159091,5.0
20.0,63786.0,1.021,0.9767424,0.0
21.0,16973.0,1.151,1.2558632,5.0
22.0,33709.0,1.209,1.2575662,0.0
23.0,45898.0,1.14,1.0966283,0.0
24.0,14604.0,1.02,0.80267876,0.0
25.0,29274.0,0.939,1.0346142,0.0
26.0,68602.0,0.885,0.8198217,4.0
27.0,78827.0,1.25,1.3314766,0.0
28.0,2959.0,0.785,0.7609362,0.0
29.0,4415.0,0.773,0.7320682,6.0
30.0,12744.0,0.982,1.3420191,7.0
31.0,32864.0,0.603,0.8029049,4.0
32.0,23009.0,1.16,1.1887965,5.0
33.0,76629.0,0.824,1.1940548,0.0
34.0,78176.0,0.965,0.9096669,4.0
35.0,19240.0,0.687,0.8174939,0.0
36.0,47422.0,0.872,1.2821574,4.0
37.0,12374.0,0.867,0.9009844,4.0
38.0,11446.0,0.751,1.0285708,2.0
39.0,56543.0,1.047,1.1072071,0.0
40.0,54637.0,1.083,1.5260825,6.0
41.0,76395.0,1.03,1.3159742,4.0
42.0,41250.0,1.256,1.4825748,4.0
43.0,21210.0,1.079,1.2902222,0.0
44.0,62195.0,1.05,0.9868612,5.0
45.0,66004.0,0.992,1.2102451,4.0
46.0,40881.0,0.751,0.89437455,0.0
47.0,27329.0,0.892,0.8909915,5.0
48.0,54732.0,1.12,0.986129,4.0
49.0,8224.0,0.871,1.0592556,0.0
50.0,56706.0,0.837,0.7340292,5.0
51.0,39567.0,0.875,0.94544965,6.0
52.0,4555.0,0.88,0.8265957,0.0
53.0,73006.0,0.978,1.2484109,3.0
54.0,36814.0,0.977,0.8943078,5.0
55.0,75629.0,0.836,0.81445974,6.0
56.0,35592.0,1.078,0.97009164,4.0
57.0,29647.0,0.56,0.7589797,6.0
58.0,10177.0,1.111,1.890495,4.0
59.0,42071.0,0.837,0.8645571,0.0
60.0,67935.0,0.99,1.5532967,1.0
61.0,46106.0,0.83,0.77843255,0.0
62.0,42455.0,0.84,0.7625117,0.0
63.0,26965.0,1.155,1.3060821,0.0
64.0,30474.0,0.897,1.1126297,3.0
65.0,61440.0,0.72,0.63032436,2.0
66.0,58753.0,0.632,0.62303996,8.0
67.0,70822.0,0.917,1.1581541,8.0
68.0,53100.0,0.965,0.99029696,0.0
69.0,26222.0,0.889,0.9525717,1.0
70.0,79017.0,0.843,0.8073509,4.0
71.0,44286.0,0.886,0.8875703,4.0
72.0,35795.0,0.917,1.08802,0.0
73.0,8315.0,1.017,1.6292993,6.0
74.0,67845.0,0.959,0.97830194,8.0
75.0,74027.0,1.153,1.2040381,4.0
76.0,64465.0,1.073,1.4264815,0.0
77.0,68675.0,1.1,1.6736475,0.0
78.0,38742.0,0.993,0.9979312,1.0
79.0,69916.0,0.934,1.0709293,0.0
80.0,49212.0,0.93,1.3695295,2.0
81.0,34517.0,0.742,0.5439585,3.0
82.0,62061.0,1.0,1.004086,4.0
83.0,53369.0,1.061,1.0785799,4.0
84.0,66528.0,0.825,0.88145006,0.0
85.0,32951.0,0.754,0.68442106,5.0
86.0,33237.0,0.92,1.1633136,0.0
87.0,52223.0,1.137,1.3342196,6.0
88.0,60859.0,1.058,1.4118711,4.0
89.0,3802.0,1.111,1.4040653,5.0
90.0,27212.0,2.942,1.18443,0.0
91.0,54211.0,1.004,0.8888278,0.0
92.0,17286.0,1.125,1.0997367,4.0
93.0,62394.0,0.923,0.99602646,4.0
94.0,16115.0,1.207,1.5189264,2.0
95.0,21086.0,0.942,0.95524704,0.0
96.0,15910.0,0.853,0.7833391,4.0
97.0,74646.0,1.045,1.2639424,0.0
98.0,44897.0,0.868,0.9500056,4.0
99.0,7036.0,1.172,1.1830399,0.0
100.0,5117.0,0.883,1.0077764,2.0
101.0,59704.0,1.019,1.0888621,6.0
102.0,78632.0,1.084,1.3247286,0.0
103.0,9426.0,0.952,1.3759831,5.0
104.0,59460.0,0.806,0.92264473,6.0
105.0,1924.0,0.793,0.7761469,0.0
106.0,17222.0,1.083,1.2490575,2.0
107.0,75401.0,0.905,0.8631144,0.0
108.0,21514.0,0.724,0.5991478,3.0
109.0,48562.0,1.513,1.6215,5.0
110.0,55570.0,0.887,1.1585793,6.0
111.0,16627.0,0.96,0.8600965,5.0
112.0,71459.0,0.738,0.91222405,0.0
113.0,16739.0,1.047,1.1875507,5.0
114.0,53677.0,0.856,0.82208365,5.0
115.0,59060.0,0.851,1.2019801,4.0
116.0,27027.0,0.962,0.94848317,3.0
117.0,53008.0,0.789,1.0654113,0.0
118.0,12179.0,0.862,0.8695097,0.0
119.0,8307.0,1.036,1.173019,0.0
120.0,37115.0,0.919,1.0870584,0.0
121.0,79807.0,0.959,1.403575,1.0
122.0,33684.0,1.213,1.3181492,0.0
123.0,53655.0,0.843,1.1146576,3.0
124.0,13781.0,1.132,1.5515717,2.0
125.0,48294.0,0.849,0.99150926,3.0
126.0,76320.0,1.05,1.0035629,0.0
127.0,3690.0,0.959,1.0917473,6.0
128.0,13290.0,1.09,1.0415316,4.0
129.0,210.0,0.762,0.6727289,0.0
130.0,78890.0,0.961,1.0638728,4.0
131.0,10084.0,0.966,0.95566756,3.0
132.0,40234.0,0.674,0.68075895,3.0
133.0,16773.0,0.93,0.96534455,0.0
134.0,48074.0,1.037,1.2910528,4.0
135.0,66704.0,1.083,1.4067326,3.0
136.0,45459.0,0.847,0.7809562,3.0
137.0,65340.0,0.84,1.1324439,0.0
138.0,15837.0,0.993,0.8644086,4.0
139.0,32724.0,0.97,1.69555,4.0
140.0,35332.0,0.899,0.8977645,3.0
141.0,18186.0,1.021,1.3034784,0.0
142.0,54505.0,0.851,1.0010675,4.0
143.0,30579.0,1.014,1.3603927,6.0
144.0,27305.0,0.961,1.0388186,5.0
145.0,73584.0,0.989,1.3859328,0.0
146.0,53558.0,1.153,1.1708829,0.0
147.0,61914.0,1.053,1.1545355,6.0
148.0,50786.0,1.014,0.9406954,3.0
149.0,3704.0,1.125,1.1716384,5.0
150.0,77867.0,1.016,0.90449256,3.0
151.0,25321.0,1.021,0.9435114,2.0
152.0,7450.0,0.777,1.0487754,2.0
153.0,66285.0,0.724,0.73501015,0.0
154.0,68345.0,0.746,0.92039454,7.0
155.0,73558.0,0.86,1.0348485,0.0
156.0,79597.0,1.087,0.9078368,0.0
157.0,58924.0,0.743,0.6978324,0.0
158.0,33507.0,0.65,0.87656415,4.0
159.0,29133.0,0.615,0.90516174,4.0
160.0,25922.0,1.129,1.2494878,3.0
161.0,41930.0,0.868,0.8284889,5.0
162.0,49940.0,1.043,1.4841784,3.0
163.0,35091.0,1.167,1.5718923,4.0
164.0,52614.0,0.916,0.91089696,4.0
165.0,8511.0,0.938,0.8381146,0.0
166.0,43143.0,1.085,1.1087981,4.0
167.0,73564.0,0.955,0.6539882,5.0
168.0,28350.0,1.128,0.891599,3.0
169.0,17505.0,0.777,0.62707424,3.0
170.0,22853.0,0.769,0.72444063,0.0
171.0,19512.0,1.145,1.122528,0.0
172.0,56352.0,1.144,1.6182876,6.0
173.0,55922.0,0.758,0.87023014,3.0
174.0,31911.0,3.416,0.59178066,2.0
175.0,38133.0,0.999,0.9924232,0.0
176.0,41993.0,0.7,0.5546389,7.0
177.0,70178.0,0.921,1.4086287,5.0
178.0,9205.0,0.674,0.7774558,0.0
179.0,52510.0,1.043,0.9580094,5.0
180.0,28100.0,0.683,0.6181059,4.0
181.0,78547.0,1.086,1.1612856,0.0
182.0,33534.0,1.357,1.2287607,8.0
183.0,38654.0,0.989,0.8949122,4.0
184.0,77004.0,1.125,1.0401732,5.0
185.0,62577.0,0.879,0.9166504,4.0
186.0,24217.0,0.908,1.2847353,3.0
187.0,19384.0,0.754,0.77401894,5.0
188.0,13981.0,1.0,0.9553596,3.0
189.0,31776.0,0.983,1.3700879,6.0
190.0,46272.0,0.806,0.8554981,3.0
191.0,69847.0,1.045,1.1194844,3.0
192.0,43400.0,0.93,1.3250337,3.0
193.0,13766.0,1.021,1.2638166,3.0
194.0,62856.0,0.847,0.9170503,0.0
