# num_targets_sim_pass_one: 8000
# max_incl_sys: 0.0
# log_rate_clusters: -0.10536051565782628
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 0.6418538861723947
# max_planets_in_clusters: 10
# power_law_P: -0.5
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -1.0
# power_law_r2: -4.0
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.5
# sigma_incl: 8.0
# sigma_incl_near_mmr: 1.0
# sigma_hk: 0.01
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.25
# sigma_logperiod_per_pl_in_cluster: 0.15
#
target_id star_id star_mass star_radius num_obs_planets
65.0 45051.0 0.684 0.5820073 1.0
104.0 55901.0 0.958 0.95624894 1.0
139.0 68364.0 1.227 0.94996995 1.0
184.0 25859.0 1.016 1.4207608 1.0
452.0 25903.0 0.904 0.9592173 1.0
531.0 47387.0 0.933 1.1487494 1.0
577.0 4594.0 1.003 1.3799018 1.0
732.0 34724.0 0.841 1.1207547 1.0
759.0 54131.0 1.012 1.0347155 1.0
778.0 53144.0 1.086 1.1852018 1.0
843.0 72997.0 0.771 0.8396049 1.0
848.0 28536.0 0.906 0.99457943 1.0
872.0 56413.0 0.876 0.82788885 1.0
897.0 24392.0 0.905 1.46394 1.0
915.0 19312.0 0.631 0.7193702 1.0
967.0 25244.0 0.547 0.6196276 1.0
971.0 7627.0 0.583 0.7261691 1.0
986.0 31085.0 0.875 1.0632534 1.0
1131.0 15323.0 1.116 1.6807007 1.0
1242.0 69360.0 1.094 1.5305424 1.0
1291.0 27533.0 1.117 1.1451474 1.0
1309.0 61485.0 0.683 0.72547024 1.0
1343.0 18137.0 1.371 1.3392087 1.0
1377.0 37860.0 1.392 1.5889019 1.0
1403.0 35668.0 1.081 1.2935737 1.0
1423.0 64424.0 1.045 1.1136321 1.0
1441.0 53081.0 1.108 1.0980841 1.0
1468.0 3079.0 1.094 1.4585185 1.0
1576.0 37171.0 0.743 0.75727355 1.0
1677.0 58623.0 1.038 1.3721927 1.0
1701.0 11270.0 1.095 1.6879172 1.0
1705.0 59060.0 0.851 1.2019801 1.0
1712.0 56437.0 1.061 0.97440654 1.0
1727.0 52451.0 0.734 0.9423928 1.0
1749.0 31289.0 0.524 0.8462598 1.0
1751.0 64175.0 0.763 1.1647743 1.0
1873.0 10098.0 0.797 0.85207134 1.0
1876.0 77875.0 1.104 1.4338259 1.0
2152.0 63708.0 0.986 1.2416892 1.0
2192.0 24052.0 1.063 1.2624015 1.0
2242.0 11057.0 0.959 1.1369469 1.0
2257.0 61794.0 1.021 0.94574624 1.0
2391.0 37560.0 0.846 0.80053395 1.0
2453.0 9874.0 0.999 1.2216651 1.0
2470.0 56642.0 0.987 1.4008927 1.0
2547.0 74275.0 1.032 0.98547816 1.0
2557.0 72652.0 0.913 1.1434491 1.0
2746.0 42019.0 0.971 1.2583212 1.0
2800.0 28178.0 1.757 1.9295309 1.0
2805.0 17440.0 1.066 1.2733783 1.0
2850.0 12356.0 1.126 1.7596719 1.0
2851.0 3971.0 1.345 1.5196518 1.0
2883.0 26917.0 1.014 1.1377429 1.0
2975.0 54209.0 0.768 0.6312875 1.0
3010.0 7186.0 1.204 1.1798337 1.0
3030.0 17871.0 1.544 1.5032198 1.0
3106.0 66879.0 0.857 1.0015492 1.0
3131.0 36125.0 0.796 0.8009291 1.0
3149.0 28690.0 0.578 0.57358366 1.0
3251.0 43474.0 0.928 1.032665 1.0
3297.0 57968.0 1.067 1.4202329 1.0
3375.0 17224.0 1.115 1.6282308 1.0
3425.0 66641.0 1.072 1.0602431 1.0
3440.0 25521.0 0.86 0.8667997 1.0
3444.0 34216.0 1.002 0.90670943 1.0
3598.0 4333.0 0.995 1.4186747 1.0
3601.0 61996.0 0.987 1.1009382 1.0
3618.0 47792.0 1.014 1.3457907 1.0
3708.0 59189.0 1.459 1.5220091 1.0
3721.0 57679.0 1.016 1.2594811 1.0
3726.0 52290.0 1.065 1.301325 1.0
3781.0 65406.0 0.681 0.77732134 1.0
3793.0 76059.0 0.851 1.3941606 1.0
4061.0 47082.0 1.633 1.6942753 1.0
4067.0 49927.0 0.89 1.3104901 1.0
4070.0 34418.0 1.05 1.3759309 1.0
4129.0 5827.0 0.652 0.8572925 1.0
4315.0 65243.0 1.026 0.9276024 1.0
4316.0 42677.0 0.767 1.2344329 1.0
4343.0 27011.0 1.209 1.7007506 1.0
4392.0 31497.0 0.83 1.2402202 1.0
4460.0 21152.0 0.99 1.1853788 1.0
4520.0 53396.0 0.989 0.8589984 1.0
4524.0 8526.0 0.792 0.7172445 1.0
4663.0 36556.0 0.647 0.81389797 1.0
4775.0 11626.0 1.22 1.5712055 1.0
4798.0 43362.0 1.099 1.1355323 1.0
4918.0 1273.0 0.917 1.3706466 1.0
5104.0 37300.0 1.024 0.9753677 1.0
5106.0 74333.0 0.866 0.79650867 1.0
5169.0 23900.0 1.023 1.1488332 1.0
5199.0 67291.0 1.1 1.3654351 1.0
5217.0 33808.0 0.998 0.9334691 1.0
5271.0 18036.0 0.999 0.90088135 1.0
5336.0 35805.0 0.612 0.5342577 1.0
5403.0 42466.0 0.853 0.9055534 1.0
5420.0 47770.0 1.347 1.8334193 1.0
5444.0 11917.0 0.925 1.0378244 1.0
5495.0 9789.0 0.978 1.311994 1.0
5499.0 69449.0 0.971 1.3179697 1.0
5512.0 79287.0 1.079 1.3096279 1.0
5529.0 45897.0 1.105 1.4664065 1.0
5626.0 39358.0 0.871 0.88843197 1.0
5667.0 70237.0 0.893 0.89811665 1.0
5795.0 20114.0 1.019 1.6264651 1.0
5869.0 14305.0 0.947 1.3027474 1.0
5984.0 40815.0 0.988 1.2805506 1.0
6020.0 33482.0 1.399 1.699046 1.0
6021.0 35843.0 1.312 1.5392865 1.0
6088.0 41074.0 0.938 1.3968291 1.0
6093.0 73415.0 1.09 1.1616282 1.0
6135.0 18443.0 1.134 1.0141329 1.0
6137.0 24647.0 0.902 0.942654 1.0
6175.0 33521.0 0.933 1.5937103 1.0
6196.0 46092.0 0.875 0.96807724 1.0
6244.0 64771.0 1.045 1.479248 1.0
6271.0 27224.0 0.73 0.69458437 1.0
6279.0 77724.0 0.941 0.90064836 1.0
6365.0 4221.0 0.975 1.3349874 1.0
6369.0 45690.0 0.977 0.85936475 1.0
6496.0 70346.0 0.924 1.4058261 1.0
6511.0 42619.0 1.07 0.8591311 1.0
6530.0 14110.0 1.03 1.1918954 1.0
6676.0 29471.0 0.999 0.96661794 1.0
6677.0 78530.0 1.032 1.2237548 1.0
6696.0 46789.0 0.775 0.8295333 1.0
6786.0 56574.0 1.073 1.2072701 1.0
6857.0 46298.0 1.091 0.9453316 1.0
6932.0 47537.0 0.97 1.7816116 1.0
7130.0 56622.0 0.918 0.96924627 1.0
7279.0 12178.0 0.954 1.2195852 1.0
7286.0 54682.0 1.024 1.0142877 1.0
7450.0 58424.0 1.065 1.0631789 1.0
7457.0 40528.0 0.805 0.9457344 1.0
