# num_targets_sim_pass_one: 8000
# max_incl_sys: 0.0
# log_rate_clusters: -0.10536051565782628
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 0.6418538861723947
# max_planets_in_clusters: 10
# power_law_P: -0.5
# min_period: 3.0
# max_period: 300.0
# power_law_r1: -1.0
# power_law_r2: -4.0
# break_radius (R_earth): 3.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.5
# sigma_incl: 8.0
# sigma_incl_near_mmr: 1.0
# sigma_hk: 0.01
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.25
# sigma_logperiod_per_pl_in_cluster: 0.15
#
target_id star_id star_mass star_radius num_planets
1.0 62255.0 0.938 1.10455 0.0
2.0 62396.0 0.881 0.9373637 2.0
3.0 4590.0 0.964 1.306332 3.0
4.0 8859.0 1.208 1.8009373 2.0
5.0 78301.0 0.759 0.7512349 1.0
6.0 56585.0 1.045 0.9146514 2.0
7.0 32350.0 1.051 1.0115982 9.0
8.0 74791.0 0.863 1.0381087 9.0
9.0 10381.0 0.816 1.0674673 1.0
10.0 35405.0 1.197 1.6533811 8.0
11.0 70144.0 0.926 0.69592685 3.0
12.0 15011.0 0.9 0.886517 0.0
13.0 41420.0 0.959 1.0932536 0.0
14.0 63459.0 0.739 0.85393345 0.0
15.0 78920.0 1.072 0.8798679 3.0
16.0 50087.0 1.103 1.3274342 4.0
17.0 10838.0 0.946 0.95919037 1.0
18.0 56619.0 0.837 0.7736417 0.0
19.0 72509.0 0.862 1.1675913 2.0
20.0 70112.0 0.732 0.80541795 0.0
21.0 52035.0 0.919 0.8239875 3.0
22.0 72294.0 1.141 1.1162909 3.0
23.0 21148.0 0.615 0.695809 4.0
24.0 50594.0 0.907 0.93534774 6.0
25.0 63834.0 0.875 1.0062393 3.0
26.0 30185.0 0.973 1.211905 2.0
27.0 75530.0 1.25 1.3531938 0.0
28.0 34616.0 0.902 0.605915 1.0
29.0 64524.0 0.924 1.2227479 0.0
30.0 35244.0 0.735 0.62510437 3.0
31.0 54767.0 0.892 1.0438193 0.0
32.0 25987.0 0.994 1.0471357 3.0
33.0 13193.0 0.792 0.81917775 1.0
34.0 13806.0 0.844 0.7842569 2.0
35.0 48269.0 0.985 0.994962 1.0
36.0 30209.0 0.699 0.8837528 2.0
37.0 43897.0 0.845 0.95885366 0.0
38.0 30929.0 0.887 1.2162808 4.0
39.0 36192.0 0.777 0.70969397 8.0
40.0 56454.0 0.943 0.9888568 0.0
41.0 59411.0 0.972 0.90411097 0.0
42.0 5497.0 0.862 0.8316937 0.0
43.0 16727.0 1.09 1.3162047 1.0
44.0 34180.0 0.917 0.92000395 0.0
45.0 26758.0 0.937 1.4571366 7.0
46.0 5141.0 1.036 0.911907 0.0
47.0 4678.0 1.232 1.4456823 0.0
48.0 23120.0 0.881 0.9425659 1.0
49.0 37089.0 0.883 0.9130721 0.0
50.0 62866.0 0.78 0.9560237 4.0
51.0 75266.0 0.964 1.6083268 1.0
52.0 60072.0 0.795 1.2007607 5.0
53.0 51710.0 0.911 1.1861883 0.0
54.0 45774.0 0.95 1.3214729 1.0
55.0 68317.0 0.772 0.78683025 3.0
56.0 44290.0 0.774 0.6504828 1.0
57.0 74086.0 0.982 0.8862084 0.0
58.0 19355.0 0.8 0.87087494 1.0
59.0 10899.0 1.05 1.364355 1.0
60.0 59937.0 0.98 1.1106933 0.0
61.0 12538.0 1.021 0.8954971 3.0
62.0 76745.0 0.925 0.83012104 3.0
63.0 69808.0 0.823 0.869953 0.0
64.0 11482.0 1.173 1.1959761 0.0
65.0 45051.0 0.684 0.5820073 6.0
66.0 14550.0 1.04 1.3531599 1.0
67.0 7134.0 1.211 1.6595445 0.0
68.0 75538.0 0.765 0.84070486 0.0
69.0 23111.0 0.903 0.8032849 3.0
70.0 78556.0 0.836 1.2428783 0.0
71.0 36155.0 0.894 0.81431013 0.0
72.0 67664.0 1.04 1.7910683 3.0
73.0 8704.0 0.958 1.3229414 0.0
74.0 78386.0 1.143 1.3318967 5.0
75.0 74082.0 1.172 1.398994 2.0
76.0 5119.0 0.865 0.92390084 0.0
77.0 59717.0 1.095 1.0626854 6.0
78.0 32730.0 0.972 1.0163853 0.0
79.0 66879.0 0.857 1.0015492 0.0
80.0 9226.0 0.874 0.7312507 2.0
81.0 63761.0 0.931 1.4555241 6.0
82.0 5028.0 0.789 1.1101304 0.0
83.0 60512.0 0.77 0.9440349 1.0
84.0 12415.0 1.163 1.0908467 0.0
85.0 70324.0 1.304 1.0385886 1.0
86.0 19584.0 0.714 0.72809595 2.0
87.0 73038.0 0.773 0.7276869 0.0
88.0 32085.0 0.83 0.9033917 6.0
89.0 33212.0 1.294 1.7104521 3.0
90.0 51483.0 1.279 1.5945071 5.0
91.0 43678.0 0.919 0.9139432 1.0
92.0 48945.0 1.276 1.5201871 0.0
93.0 8285.0 0.937 1.1807705 0.0
94.0 46329.0 0.987 1.106308 2.0
95.0 37752.0 0.802 0.86841285 0.0
96.0 7090.0 0.841 1.0472151 0.0
97.0 38302.0 0.983 1.1763797 0.0
98.0 62980.0 1.084 0.9809203 3.0
99.0 65735.0 1.077 1.3985629 2.0
100.0 54025.0 1.072 1.1404774 6.0
101.0 76661.0 0.938 1.2494653 9.0
102.0 42180.0 1.008 1.62519 2.0
103.0 9411.0 0.907 0.8912817 2.0
104.0 55901.0 0.958 0.95624894 5.0
105.0 20396.0 0.852 0.78762764 1.0
106.0 55558.0 0.932 0.61613643 6.0
107.0 32216.0 0.772 0.5918865 1.0
108.0 79336.0 0.849 0.64590585 1.0
109.0 34772.0 0.716 0.64376223 10.0
110.0 47054.0 0.99 1.158175 0.0
111.0 72421.0 0.739 0.8669958 1.0
112.0 10885.0 0.695 0.76295984 0.0
