kepid,mass,radius,teff,bp_rp,rrmscdpp04p5
10000797,0.968,1.3550892,5962,0.79298496,68.34
10000800,0.965,0.9133894,5287,0.98207283,200.749
10000827,0.939,0.99589604,5353,0.9772148,104.819
10000876,0.849,0.86952025,5027.5464,1.1104078,88.832
10000939,0.564,0.55401677,4430,1.544404,275.164
10000941,0.798,0.77443004,4956,1.165803,81.692
10000962,0.869,0.78332186,5305.5,1.0159454,91.893
10000976,0.972,0.9529344,5323.1,0.98975754,118.563
10001000,0.768,0.73986894,4945.58,1.2165956,183.011
10001045,1.157,1.6702535,6250,0.7358217,59.195
10001116,0.876,0.8096578,5324.5,1.0066433,101.233
10001129,0.823,0.78501815,4897,1.1986103,224.627
10001142,0.848,0.79014695,4978,1.1276274,243.334
10000069,1.049,1.0554166,5412,0.9565468,162.647
10000255,1.145,1.5619825,5925,0.7924719,55.149
10000285,1.117,1.1106759,5482,0.8983221,149.232
10000344,0.971,1.2660047,5748,0.87225246,176.429
10000441,1.074,1.4356515,5929,0.78431416,44.458
10000500,0.557,0.5569252,4459,1.51192,133.315
10000551,1.021,1.1988348,5482,0.9076681,158.658
10000612,0.951,1.2048918,5422,0.92015934,189.928
10000620,1.073,1.342222,5725.4,0.8567171,46.608
10000661,0.696,0.54340136,5049,1.2928543,99.451
10000724,1.038,0.94952697,5639,0.8696747,73.684
10121766,0.754,0.68360215,5352.185,1.0716562,71.668
10121816,0.728,0.87084943,5142,1.0310822,90.893
10121916,0.902,0.96121275,5713,0.8593159,75.676
10122122,0.876,0.8861145,5316.55,1.004324,104.782
10129538,0.855,1.2775925,5742.75,0.8671341,125.73
10129675,0.53,0.71725106,5003.3335,1.3137159,103.818
10129779,0.879,1.1865869,5870,0.8107548,92.797
10004783,1.173,1.6242338,6764,0.6279497,105.983
10004796,0.892,0.93960494,5213.8696,1.0202188,143.544
10004804,0.746,1.0697361,5012,1.1361628,248.128
10004864,1.119,1.000626,6238,0.7286444,52.484
10004928,0.98,1.2459071,5791.3335,0.86515236,110.954
10004945,1.146,1.3227558,6274,0.72473717,54.126
10010958,0.969,0.92497283,4999.17,1.1125021,260.341
10010975,1.072,1.4048203,5759,0.85200596,184.376
10010990,0.952,1.3446499,5368,0.95977306,251.919
10010992,0.727,0.6887639,5088.0938,1.1169605,402.392
10010994,1.159,1.6716273,5924.5,0.76570797,78.864
10011023,0.843,1.1866151,5034.3335,1.0932732,119.7
10011038,0.658,0.7218029,4427.5,1.4785995,202.89
10011070,0.929,0.7987006,5313,1.0109549,170.63
10011078,1.035,1.0508891,5479,0.905015,143.102
10018391,1.05,1.4106005,5471,0.9069805,106.881
10018467,0.718,0.66931397,4640.2925,1.4358234,231.714
10018573,0.719,0.61710733,4789.157,1.3705864,178.128
10018602,1.153,1.0748509,5774.9233,0.9011297,97.258
10018619,0.989,0.9656325,5115.91,1.0269918,121.125
